peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
6,41,0.664,0.609,-6.509,0.0707,0,130.041
3,40,0.789,0.536,-6.862,0.242,0,81.039
81,39,0.548,0.847,-3.237,0.186,0,171.447
15,39,0.828,0.621,-6.414,0.0565,0.00233,128.986
3,39,0.807,0.893,-3.745,0.0347,0.0000279,126.011
14,39,0.516,0.595,-4.63,0.0313,0,119.972
5,39,0.65,0.825,-4.645,0.0325,0.0000244,118.091
52,38,0.695,0.884,-2.278,0.0753,0,103.014
1,37,0.591,0.764,-5.484,0.0483,0,169.928
19,37,0.659,0.688,-4.649,0.0673,0,153.979
4,37,0.762,0.766,-3.955,0.0343,0.0000698,130.001
6,37,0.824,0.764,-4.175,0.0854,0.00294,107.998
31,36,0.792,0.895,-3.112,0.0587,0,94.968
75,36,0.515,0.479,-7.458,0.0261,0.00598,88.964
2,35,0.741,0.691,-7.395,0.0672,0,150.087
42,35,0.592,0.457,-6.081,0.0603,0.000331,146.04
8,35,0.75,0.608,-4.008,0.0387,0,132.507
113,35,0.69,0.521,-8.492,0.339,0,100.028
41,35,0.85,0.541,-4.522,0.0674,0.00000501,92.003
10,34,0.725,0.86,-3.726,0.182,0.000284,175.896
44,34,0.448,0.838,-5.257,0.0557,0.000131,139.863
80,34,0.742,0.882,-2.862,0.117,0,102.04
9,34,0.903,0.817,-3.972,0.095,0.000311,102.014
36,34,0.912,0.655,-6.029,0.162,0.0000339,91.942
117,34,0.548,0.532,-7.596,0.0323,0.000263,85.03
6,34,0.332,0.225,-8.697,0.0348,0.00349,81.055
66,33,0.603,0.783,-4.023,0.062,0.00000796,172.041
104,33,0.691,0.631,-6.478,0.0368,0.0000113,92.004
38,32,0.77,0.787,-3.748,0.0583,0,119.986
35,32,0.609,0.692,-2.958,0.0259,0,116.959
4,32,0.795,0.8,-6.32,0.0309,0.0000725,116.032
11,31,0.369,0.272,-10.497,0.0364,0,172.929
14,30,0.743,0.655,-5.015,0.159,0,172.031
52,30,0.721,0.738,-4.77,0.0403,0.00000441,119.976
17,29,0.695,0.575,-6.334,0.116,0,163.929
10,29,0.849,0.424,-9.579,0.324,0,145.887
18,29,0.671,0.636,-8.117,0.103,0.000411,120.966
34,29,0.748,0.761,-6.621,0.102,0.00000656,116.041
24,29,0.773,0.47,-7.93,0.0299,0.000193,94.995
55,29,0.544,0.369,-9.514,0.038,0.279,87.01
41,28,0.762,0.77,-2.758,0.223,0,177.998
4,28,0.788,0.859,-2.724,0.0856,0,141.02
5,28,0.831,0.554,-9.998,0.218,0.0000612,140.026
40,28,0.734,0.846,-3.425,0.0489,0.00000174,98.026
9,28,0.727,0.739,-3.805,0.0411,0.00137,93.005
11,27,0.601,0.741,-5.569,0.0478,0.0000291,153.96
14,27,0.579,0.596,-4.823,0.0561,0.0938,119.9
3,27,0.737,0.846,-4.51,0.22,0,87.981
31,27,0.829,0.512,-5.865,0.187,0,80.511
41,26,0.586,0.525,-7.163,0.0615,0,133.629
5,26,0.702,0.741,-5.33,0.0427,0,124.925
31,26,0.908,0.669,-2.827,0.0738,0,112.238
3,26,0.573,0.711,-6.268,0.0406,0,105.006
