track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
Esque??a-Me Se For Capaz,"Mar??lia Mendon??a, Maiara & Maraisa",67,11,0.799,0.685,-5.366,0.0725,0,122.013
Sacrifice,The Weeknd,3,11,0.735,0.795,-6.523,0.113,3.18E-05,122
Belly Dancer,"Imanbek, BYOR",77,11,0.845,0.797,-4.984,0.139,5.57E-06,121.985
Night Changes,One Direction,111,11,0.672,0.52,-7.747,0.0353,0,120.001
Fingers Crossed,Lauren Spencer Smith,17,11,0.56,0.473,-7.23,0.0533,0,109.414
Running Up That Hill (A Deal With God),Kate Bush,1,11,0.629,0.547,-13.123,0.055,0.00314,108.375
Softcore,The Neighbourhood,35,11,0.575,0.568,-5.509,0.03,0.000417,93.986
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",8,11,0.627,0.618,-8.529,0.0437,0,82.03
pushin P (feat. Young Thug),"Gunna, Future, Young Thug",14,11,0.773,0.422,-4.572,0.187,0.00693,77.502
Down Under (feat. Colin Hay),"Luude, Colin Hay",72,10,0.308,0.86,-4.111,0.168,0.000828,171.835
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,26,10,0.801,0.601,-7.574,0.255,3.23E-05,159.969
Hold My Hand,Lady Gaga,110,10,0.53,0.612,-4.286,0.0331,0,148.009
Space Song,Beach House,174,10,0.508,0.792,-7.311,0.0297,0.124,147.067
Formula,Labrinth,68,10,0.574,0.664,-6.068,0.0409,0.0553,144.654
I Ain't Worried,OneRepublic,13,10,0.704,0.797,-5.927,0.0475,0.000745,139.994
Sweet Child O' Mine,Guns N' Roses,101,10,0.454,0.91,-7.766,0.0448,0.0996,125.116
Ferrari,"James Hype, Miggy Dela Rosa",36,10,0.847,0.69,-7.877,0.0493,6.00E-05,125.004
Mal Feito - Ao Vivo,"Hugo & Guilherme, Mar??lia Mendon??a",72,10,0.732,0.831,-3.791,0.0691,0,123.942
Lost,Frank Ocean,50,10,0.913,0.603,-4.892,0.226,0.000503,123.061
I Was Never There,"The Weeknd, Gesaffelstein",17,10,0.323,0.737,-4.008,0.0338,0.000162,113.26
Everybody Wants To Rule The World,Tears For Fears,105,10,0.645,0.795,-12.095,0.0527,0.00389,112.067
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",10,10,0.733,0.67,-6.009,0.0751,0,100.964
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",26,10,0.824,0.697,-4.869,0.0473,4.11E-05,99.987
Excuses,"AP Dhillon, Gurinder Gill, Intense",56,10,0.837,0.717,-7.749,0.0822,0,94.984
Enchanted,Taylor Swift,61,10,0.535,0.618,-3.913,0.0273,0.000388,81.975
Light Switch,Charlie Puth,19,9,0.69,0.626,-5.693,0.306,0.000335,184.009
Glimpse of Us,Joji,1,9,0.44,0.317,-9.258,0.0531,4.78E-06,169.914
Vai L?? Em Casa Hoje,"George Henrique & Rodrigo, Mar??lia Mendon??a",66,9,0.456,0.83,-3.646,0.281,0,157.628
When You're Gone,Shawn Mendes,21,9,0.603,0.691,-5.805,0.0372,0,147.148
"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",45,9,0.82,0.752,-7.635,0.0648,0.00417,127.999
Numb,"Marshmello, Khalid",114,9,0.912,0.774,-4.673,0.0455,0.0127,119.966
DANCE CRIP,Trueno,79,9,0.857,0.766,-3.699,0.0978,0,106.024
Bar,"TINI, L-Gante",99,9,0.523,0.691,-3.802,0.0833,0,94.148
"Cay?? La Noche (feat. Cruz Cafun??, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafun??, EL IMA",58,8,0.672,0.745,-5.269,0.3,9.29E-06,173.974
Yet To Come,BTS,7,8,0.559,0.885,-4.515,0.189,0,172.029
I AM WOMAN,Emmy Meli,51,8,0.646,0.471,-9.247,0.157,0,170.084
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",7,8,0.529,0.673,-4.711,0.175,2.41E-06,165.921
Toma Toma Vapo Vapo,"Z?? Felipe, Mc Danny",75,8,0.763,0.859,-3.3,0.0479,0.0003,164.055
Massive,Drake,18,8,0.499,0.671,-6.774,0.0561,0.0169,124.994
LOVE DIVE,IVE,51,8,0.703,0.709,-4.169,0.0433,5.43E-05,117.941
BREAK MY SOUL,Beyonc??,12,8,0.693,0.887,-5.039,0.0795,2.71E-06,114.942
ULTRA SOLO REMIX,"Polim?? Westcoast, Pailita, Feid, Paloma Mami, De La Ghetto",44,8,0.909,0.824,-4.627,0.0797,0.00387,109.97
Numb Little Bug,Em Beihold,69,8,0.742,0.527,-6.892,0.0769,0,84.974
Mujeriego,Ryan Castro,92,8,0.758,0.621,-8.033,0.125,0,79.949
Money Trees,"Kendrick Lamar, Jay Rock",143,8,0.716,0.531,-7.355,0.122,0,71.994
she's all i wanna be,Tate McRae,38,7,0.614,0.644,-5.372,0.0426,7.07E-06,160.036
Malvada,Z?? Felipe,58,7,0.894,0.859,-2.981,0.0471,0.000153,134.947
Where Did You Go? (feat. MNEK),"Jax Jones, MNEK",116,7,0.763,0.782,-4.541,0.0346,7.08E-06,127.034
ELEVEN,IVE,103,7,0.828,0.731,-3.033,0.111,0,119.978
I Hate U,SZA,19,7,0.535,0.388,-9.805,0.155,0,106.703
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",7,7,0.881,0.592,-4.898,0.0324,1.32E-05,101.058
POP!,NAYEON,68,7,0.793,0.859,-2.998,0.0544,0,97.001
La Zona,Bad Bunny,60,7,0.762,0.801,-3.661,0.0409,7.04E-05,93.992
august,Taylor Swift,11,7,0.532,0.623,-9.208,0.0331,7.28E-05,89.937
Mount Everest,Labrinth,36,7,0.494,0.428,-7.239,0.205,0.0698,87.724
It'll Be Okay,Shawn Mendes,55,7,0.398,0.286,-11.881,0.033,0.000146,78.262
Boyfriend,Dove Cameron,11,6,0.345,0.612,-6.543,0.0608,0,179.773
TUS L??GRIMAS,"Mora, Sech",93,6,0.683,0.714,-4.898,0.252,1.00E-06,173.963
Unstoppable,Sia,112,6,0.468,0.779,-4.839,0.0779,0.000373,173.799
10 Things I Hate About You,Leah Kate,117,6,0.544,0.786,-2.97,0.0501,0,153.967
La Bachata,Manuel Turizo,13,6,0.835,0.679,-5.329,0.0364,1.98E-06,124.98
Ojos Marrones,Lasso,72,6,0.809,0.649,-4.433,0.0416,0,120.014
Master Of Puppets,Metallica,20,6,0.543,0.836,-9.11,0.0353,0.431,105.173
ZOOM,Jessi,89,6,0.874,0.6,-6.064,0.158,0,100.012
MAMIII,"Becky G, KAROL G",5,6,0.843,0.7,-3.563,0.0803,0,93.991
Still D.R.E.,"Dr. Dre, Snoop Dogg",29,6,0.816,0.775,-3.323,0.234,0.00031,93.431
LA INOCENTE,"Mora, Feid",121,6,0.757,0.789,-3.46,0.0583,0,91.911
In Da Club,50 Cent,77,6,0.899,0.713,-2.752,0.366,0,90.051
Thousand Miles,The Kid LAROI,18,6,0.376,0.657,-4.658,0.0768,0,80.565
Stan,"Eminem, Dido",138,6,0.78,0.768,-4.325,0.238,2.34E-06,80.063
Normal,Feid,57,5,0.712,0.557,-4.861,0.115,0,170.079
SNAP,Rosa Linn,26,5,0.565,0.636,-8.198,0.0638,9.90E-06,170.01
Bad Habit,Steve Lacy,10,5,0.686,0.494,-7.093,0.0355,5.80E-05,168.946
Iris,The Goo Goo Dolls,124,5,0.315,0.715,-8.072,0.0362,7.97E-06,155.925
Nail Tech,Jack Harlow,36,5,0.677,0.557,-8.409,0.0694,8.36E-06,150.127
Ya No Somos Ni Seremos,Christian Nodal,37,5,0.588,0.452,-4.75,0.0268,0,139.953
Beautiful Girl,Luciano,59,5,0.839,0.412,-8.816,0.0935,0.000796,139.901
Sticky,Drake,17,5,0.853,0.495,-14.63,0.14,0.000217,137.027
DAN??ARINA,"PEDRO SAMPAIO, Mc Pedrinho",32,5,0.778,0.571,-4.776,0.0788,0,134.999
